Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Aktualności,Firefox 84.0,,,2021-01-28 17:43:25,2021-01-28 17:46:00,"2m - 35,117s",FAILED
,,,,,,,
Test Cases/Aktualności/Test Nawigacji - Podstrona Aktualności,Firefox 84.0,,,2021-01-28 17:43:27,2021-01-28 17:44:07,"40,511s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-28 17:43:27,2021-01-28 17:43:33,"5,753s",PASSED
maximizeWindow(),Firefox 84.0,,,2021-01-28 17:43:33,2021-01-28 17:43:34,"0,295s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/aktualnosci/"")",Firefox 84.0,,,2021-01-28 17:43:34,2021-01-28 17:43:39,"5,147s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Firefox 84.0,,,2021-01-28 17:43:39,2021-01-28 17:43:40,"1,037s",PASSED
"click(findTestObject(""SPY - NAWIGACJA STRONA GŁOWNA BUTTON/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/img_Szkolenia cige dla farmaceutw, farmacji, farmaceutyczne  Aptekarska.pl_preload-me""))",Firefox 84.0,,,2021-01-28 17:43:40,2021-01-28 17:43:44,"4,266s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:43:44,2021-01-28 17:43:44,"0,186s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/"")",Firefox 84.0,,,2021-01-28 17:43:44,2021-01-28 17:43:44,"0,065s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/span_Artykuy""))",Firefox 84.0,,,2021-01-28 17:43:44,2021-01-28 17:43:51,"6,532s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:43:51,2021-01-28 17:43:51,"0,130s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/artykuly/"")",Firefox 84.0,,,2021-01-28 17:43:51,2021-01-28 17:43:51,"0,031s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Artykuy - Aptekarska Szkoa Zarzdzania/span_O nas""))",Firefox 84.0,,,2021-01-28 17:43:51,2021-01-28 17:43:54,"3,344s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:43:54,2021-01-28 17:43:54,"0,032s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/"")",Firefox 84.0,,,2021-01-28 17:43:54,2021-01-28 17:43:54,"0,041s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_O nas - Aptekarska Szkoa Zarzdzania/span_Kontakt""))",Firefox 84.0,,,2021-01-28 17:43:54,2021-01-28 17:43:59,"4,797s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:43:59,2021-01-28 17:43:59,"0,038s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/kontakt/"")",Firefox 84.0,,,2021-01-28 17:43:59,2021-01-28 17:43:59,"0,016s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Oferta""))",Firefox 84.0,,,2021-01-28 17:43:59,2021-01-28 17:44:06,"6,874s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:44:06,2021-01-28 17:44:06,"0,021s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/"")",Firefox 84.0,,,2021-01-28 17:44:06,2021-01-28 17:44:06,"0,028s",PASSED
