Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Formularz,Chrome 88.0.4324.104,,,2021-01-29 12:36:21,2021-01-29 12:36:41,"19,650s",PASSED
,,,,,,,
Test Cases/Formularz/Testy Formularz,Chrome 88.0.4324.104,,,2021-01-29 12:36:23,2021-01-29 12:36:41,"17,688s",PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-29 12:36:24,2021-01-29 12:36:30,"5,511s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/oferta/"")",Chrome 88.0.4324.104,,,2021-01-29 12:36:30,2021-01-29 12:36:32,"2,632s",PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-01-29 12:36:32,2021-01-29 12:36:35,"2,270s",PASSED
"click(findTestObject(""Object Repository/Formularz/Page_Aptekarska Szkoa Zarzdzania/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-29 12:36:35,2021-01-29 12:36:35,"0,785s",PASSED
"scrollToElement(findTestObject(""SPY - Newsletter/Page_Aptekarska Szkoa Zarzdzania/iframe__fm-fc-f-jquodjjgyu""), 0)",Chrome 88.0.4324.104,,,2021-01-29 12:36:35,2021-01-29 12:36:36,"0,888s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania/input_Imi_freshmail_custom_fieldimie""))",Chrome 88.0.4324.104,,,2021-01-29 12:36:36,2021-01-29 12:36:37,"0,797s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania/input_Imi_freshmail_custom_fieldimie""))",Chrome 88.0.4324.104,,,2021-01-29 12:36:37,2021-01-29 12:36:38,"0,580s",PASSED
"setText(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania/input_Imi_freshmail_custom_fieldimie""), ""Szymon"")",Chrome 88.0.4324.104,,,2021-01-29 12:36:38,2021-01-29 12:36:38,"0,661s",PASSED
"setText(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania/input_Email (ktry regularnie odbierasz)_fre_eca03e""), ""SS@wp.pl"")",Chrome 88.0.4324.104,,,2021-01-29 12:36:38,2021-01-29 12:36:39,"0,641s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania/label""))",Chrome 88.0.4324.104,,,2021-01-29 12:36:39,2021-01-29 12:36:39,"0,552s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania/button_Zapisz mnie""))",Chrome 88.0.4324.104,,,2021-01-29 12:36:39,2021-01-29 12:36:40,"0,574s",PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-01-29 12:36:40,2021-01-29 12:36:41,"0,901s",PASSED
