Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Artykuły,Chrome 88.0.4324.104,,,2021-01-29 17:22:26,2021-01-29 17:24:27,"2m - 1,221s",FAILED
,,,,,,,
Test Cases/Artykuły/Test Nawigacji - Podstrona Artykuły,Chrome 88.0.4324.104,,,2021-01-29 17:22:28,2021-01-29 17:23:01,"32,830s",PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-29 17:22:29,2021-01-29 17:22:34,"5,059s",PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-01-29 17:22:34,2021-01-29 17:22:36,"2,200s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/artykuly/"")",Chrome 88.0.4324.104,,,2021-01-29 17:22:36,2021-01-29 17:22:39,"3,475s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-29 17:22:39,2021-01-29 17:22:40,"0,708s",PASSED
"click(findTestObject(""SPY - NAWIGACJA STRONA GŁOWNA BUTTON/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/img_Szkolenia cige dla farmaceutw, farmacji, farmaceutyczne  Aptekarska.pl_preload-me""))",Chrome 88.0.4324.104,,,2021-01-29 17:22:40,2021-01-29 17:22:44,"3,945s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:22:44,2021-01-29 17:22:44,"0,050s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/"")",Chrome 88.0.4324.104,,,2021-01-29 17:22:44,2021-01-29 17:22:44,"0,078s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Aktualnoci""))",Chrome 88.0.4324.104,,,2021-01-29 17:22:44,2021-01-29 17:22:52,"7,324s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:22:52,2021-01-29 17:22:52,"0,015s",PASSED
