Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kontakt,Chrome 88.0.4324.104,,,2021-01-29 17:18:37,2021-01-29 17:19:26,"48,909s",PASSED
,,,,,,,
Test Cases/Kontakt/Test Nawigacji - Podstrony Kontakt,Chrome 88.0.4324.104,,,2021-01-29 17:18:39,2021-01-29 17:19:15,"35,949s",PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-29 17:18:40,2021-01-29 17:18:46,"5,836s",PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-01-29 17:18:46,2021-01-29 17:18:48,"2,179s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/kontakt/"")",Chrome 88.0.4324.104,,,2021-01-29 17:18:48,2021-01-29 17:18:52,"3,395s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-29 17:18:52,2021-01-29 17:18:53,"0,796s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Aktualnoci""))",Chrome 88.0.4324.104,,,2021-01-29 17:18:53,2021-01-29 17:18:57,"4,187s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:18:57,2021-01-29 17:18:57,"0,066s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/aktualnosci/"")",Chrome 88.0.4324.104,,,2021-01-29 17:18:57,2021-01-29 17:18:57,"0,102s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/span_Artykuy""))",Chrome 88.0.4324.104,,,2021-01-29 17:18:57,2021-01-29 17:19:00,"3,038s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:19:00,2021-01-29 17:19:00,"0,019s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/artykuly/"")",Chrome 88.0.4324.104,,,2021-01-29 17:19:00,2021-01-29 17:19:00,"0,061s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Artykuy - Aptekarska Szkoa Zarzdzania/span_O nas""))",Chrome 88.0.4324.104,,,2021-01-29 17:19:00,2021-01-29 17:19:04,"3,859s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:19:04,2021-01-29 17:19:04,"0,044s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/"")",Chrome 88.0.4324.104,,,2021-01-29 17:19:04,2021-01-29 17:19:04,"0,022s",PASSED
"click(findTestObject(""SPY - NAWIGACJA STRONA GŁOWNA BUTTON/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/img_Szkolenia cige dla farmaceutw, farmacji, farmaceutyczne  Aptekarska.pl_preload-me""))",Chrome 88.0.4324.104,,,2021-01-29 17:19:04,2021-01-29 17:19:09,"4,607s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:19:09,2021-01-29 17:19:09,"0,040s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/"")",Chrome 88.0.4324.104,,,2021-01-29 17:19:09,2021-01-29 17:19:09,"0,030s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Oferta""))",Chrome 88.0.4324.104,,,2021-01-29 17:19:09,2021-01-29 17:19:14,"5,562s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:19:14,2021-01-29 17:19:14,"0,017s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/"")",Chrome 88.0.4324.104,,,2021-01-29 17:19:14,2021-01-29 17:19:14,"0,018s",PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-01-29 17:19:14,2021-01-29 17:19:15,"0,710s",PASSED
,,,,,,,
Test Cases/Kontakt/Test Przewijania Strony - Podstrony Kontakt,Chrome 88.0.4324.104,,,2021-01-29 17:19:15,2021-01-29 17:19:25,"10,361s",PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-29 17:19:15,2021-01-29 17:19:19,"3,668s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/kontakt/"")",Chrome 88.0.4324.104,,,2021-01-29 17:19:19,2021-01-29 17:19:23,"3,584s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Akceptuj wszystko""))",Chrome 88.0.4324.104,,,2021-01-29 17:19:23,2021-01-29 17:19:23,"0,553s",PASSED
"scrollToElement(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia dla Farmacji/img_Uczestniczka webinaru_preload-me""), 0)",Chrome 88.0.4324.104,,,2021-01-29 17:19:23,2021-01-29 17:19:24,"0,912s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/a_Do gry""))",Chrome 88.0.4324.104,,,2021-01-29 17:19:24,2021-01-29 17:19:25,"0,493s",PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-01-29 17:19:25,2021-01-29 17:19:25,"0,701s",PASSED
,,,,,,,
Test Cases/Kontakt/Test Przycisków - Podstrona Kontakt,Chrome 88.0.4324.104,,,2021-01-29 17:19:25,2021-01-29 17:19:26,"0,391s",PASSED
return null,Chrome 88.0.4324.104,,,2021-01-29 17:19:26,2021-01-29 17:19:26,"0,001s",PASSED
