Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
O nas,Chrome 88.0.4324.104,,,2021-01-29 17:19:30,2021-01-29 17:22:20,"2m - 50,173s",FAILED
,,,,,,,
Test Cases/O nas/Test Nawigacji - Podstrona O nas,Chrome 88.0.4324.104,,,2021-01-29 17:19:32,2021-01-29 17:20:02,"30,438s",PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-29 17:19:33,2021-01-29 17:19:38,"4,864s",PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-01-29 17:19:38,2021-01-29 17:19:40,"2,170s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/o-nas/"")",Chrome 88.0.4324.104,,,2021-01-29 17:19:40,2021-01-29 17:19:44,"3,858s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-29 17:19:44,2021-01-29 17:19:44,"0,605s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Aktualnoci""))",Chrome 88.0.4324.104,,,2021-01-29 17:19:44,2021-01-29 17:19:49,"4,324s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:19:49,2021-01-29 17:19:49,"0,100s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/aktualnosci/"")",Chrome 88.0.4324.104,,,2021-01-29 17:19:49,2021-01-29 17:19:49,"0,092s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/span_Artykuy""))",Chrome 88.0.4324.104,,,2021-01-29 17:19:49,2021-01-29 17:19:52,"3,582s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:19:52,2021-01-29 17:19:52,"0,032s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/artykuly/"")",Chrome 88.0.4324.104,,,2021-01-29 17:19:52,2021-01-29 17:19:52,"0,022s",PASSED
"click(findTestObject(""SPY - NAWIGACJA STRONA GŁOWNA BUTTON/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/img_Szkolenia cige dla farmaceutw, farmacji, farmaceutyczne  Aptekarska.pl_preload-me""))",Chrome 88.0.4324.104,,,2021-01-29 17:19:52,2021-01-29 17:19:56,"3,927s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:19:56,2021-01-29 17:19:56,"0,033s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/"")",Chrome 88.0.4324.104,,,2021-01-29 17:19:56,2021-01-29 17:19:56,"0,024s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_O nas - Aptekarska Szkoa Zarzdzania/span_Kontakt""))",Chrome 88.0.4324.104,,,2021-01-29 17:19:56,2021-01-29 17:20:00,"3,314s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:20:00,2021-01-29 17:20:00,"0,025s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/kontakt/"")",Chrome 88.0.4324.104,,,2021-01-29 17:20:00,2021-01-29 17:20:00,"0,028s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Oferta""))",Chrome 88.0.4324.104,,,2021-01-29 17:20:00,2021-01-29 17:20:02,"1,867s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:20:02,2021-01-29 17:20:02,"0,012s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/"")",Chrome 88.0.4324.104,,,2021-01-29 17:20:02,2021-01-29 17:20:02,"0,014s",PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-01-29 17:20:02,2021-01-29 17:20:02,"0,712s",PASSED
,,,,,,,
Test Cases/O nas/Test Przewijania Strony - Podstrona O nas,Chrome 88.0.4324.104,,,2021-01-29 17:20:02,2021-01-29 17:20:13,"10,938s",PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-29 17:20:03,2021-01-29 17:20:06,"3,357s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/o-nas/"")",Chrome 88.0.4324.104,,,2021-01-29 17:20:06,2021-01-29 17:20:11,"4,523s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Akceptuj wszystko""))",Chrome 88.0.4324.104,,,2021-01-29 17:20:11,2021-01-29 17:20:11,"0,561s",PASSED
"scrollToElement(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia dla Farmacji/img_Uczestniczka webinaru_preload-me""), 0)",Chrome 88.0.4324.104,,,2021-01-29 17:20:11,2021-01-29 17:20:12,"0,947s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/a_Do gry""))",Chrome 88.0.4324.104,,,2021-01-29 17:20:12,2021-01-29 17:20:13,"0,509s",PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-01-29 17:20:13,2021-01-29 17:20:13,"0,666s",PASSED
,,,,,,,
Test Cases/O nas/Test przycisków - Podstrona O nas - Beata,Chrome 88.0.4324.104,,,2021-01-29 17:20:13,2021-01-29 17:20:43,"29,791s",FAILED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-29 17:20:14,2021-01-29 17:20:17,"3,330s",PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-01-29 17:20:17,2021-01-29 17:20:19,"2,135s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/o-nas/"")",Chrome 88.0.4324.104,,,2021-01-29 17:20:19,2021-01-29 17:20:23,"3,614s",PASSED
"click(findTestObject(""Object Repository/Podstrona O nas Przyciski/Page_O nas - Aptekarska Szkoa Zarzdzania/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-29 17:20:23,2021-01-29 17:20:23,"0,532s",PASSED
"click(findTestObject(""Object Repository/Podstrona O nas Przyciski/Page_O nas - Aptekarska Szkoa Zarzdzania/i""))",Chrome 88.0.4324.104,,,2021-01-29 17:20:23,2021-01-29 17:20:27,"3,621s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:20:27,2021-01-29 17:20:27,"0,054s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/beata-tyszkiewicz-kmiecik/"")",Chrome 88.0.4324.104,,,2021-01-29 17:20:27,2021-01-29 17:20:27,"0,017s",PASSED
"click(findTestObject(""Object Repository/Podstrona O nas Przyciski/Page_Beata Tyszkiewicz-Kmiecik - Aptekarska_133aa7/span_O nas""))",Chrome 88.0.4324.104,,,2021-01-29 17:20:27,2021-01-29 17:20:30,"3,245s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:20:30,2021-01-29 17:20:30,"0,056s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/"")",Chrome 88.0.4324.104,,,2021-01-29 17:20:30,2021-01-29 17:20:31,"0,041s",PASSED
"click(findTestObject(""Object Repository/Podstrona O nas Przyciski/Page_O nas - Aptekarska Szkoa Zarzdzania/a_Wicej""))",Chrome 88.0.4324.104,,,2021-01-29 17:20:31,2021-01-29 17:20:33,"2,676s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:20:33,2021-01-29 17:20:33,"0,027s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/beata-tyszkiewicz-kmiecik/"")",Chrome 88.0.4324.104,,,2021-01-29 17:20:33,2021-01-29 17:20:33,"0,043s",PASSED
"click(findTestObject(""Object Repository/Podstrona O nas Przyciski/Page_Beata Tyszkiewicz-Kmiecik - Aptekarska_133aa7/a_Wszystkie artykuy Beaty Tyszkiewicz-Kmiecik""))",Chrome 88.0.4324.104,,,2021-01-29 17:20:33,2021-01-29 17:20:37,"3,539s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:20:37,2021-01-29 17:20:37,"0,015s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/category/artykuly/beata-tyszkiewicz-kmiecik/"")",Chrome 88.0.4324.104,,,2021-01-29 17:20:37,2021-01-29 17:20:37,"0,014s",PASSED
back(),Chrome 88.0.4324.104,,,2021-01-29 17:20:37,2021-01-29 17:20:37,"0,276s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:20:37,2021-01-29 17:20:37,"0,112s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/beata-tyszkiewicz-kmiecik/"")",Chrome 88.0.4324.104,,,2021-01-29 17:20:37,2021-01-29 17:20:37,"0,039s",PASSED
"click(findTestObject(""Object Repository/Podstrona O nas Przyciski/Page_Beata Tyszkiewicz-Kmiecik - Aptekarska_133aa7/i""))",Chrome 88.0.4324.104,,,2021-01-29 17:20:37,2021-01-29 17:20:41,"3,275s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:20:41,2021-01-29 17:20:41,"0,022s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/2020/12/04/mala-zmiana-ktora-daje-duze-efekty-w-polepszeniu-jakosci-obslugi-pacjenta-w-aptece/"")",Chrome 88.0.4324.104,,,2021-01-29 17:20:41,2021-01-29 17:20:41,"0,020s",PASSED
back(),Chrome 88.0.4324.104,,,2021-01-29 17:20:41,2021-01-29 17:20:41,"0,219s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:20:41,2021-01-29 17:20:41,"0,117s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/beata-tyszkiewicz-kmiecik/"")",Chrome 88.0.4324.104,,,2021-01-29 17:20:41,2021-01-29 17:20:41,"0,076s",PASSED
"click(findTestObject(""Object Repository/Podstrona O nas Przyciski/Page_Beata Tyszkiewicz-Kmiecik - Aptekarska_133aa7/span_O nas""))",Chrome 88.0.4324.104,,,2021-01-29 17:20:41,2021-01-29 17:20:43,"2,202s",FAILED
,,,,,,,
Test Cases/O nas/Test przycisków - Podstrona O nas - Dominika,Chrome 88.0.4324.104,,,2021-01-29 17:20:43,2021-01-29 17:21:14,"30,452s",FAILED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-29 17:20:44,2021-01-29 17:20:48,"4,083s",PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-01-29 17:20:48,2021-01-29 17:20:50,"2,132s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/o-nas/"")",Chrome 88.0.4324.104,,,2021-01-29 17:20:50,2021-01-29 17:20:53,"3,529s",PASSED
"click(findTestObject(""Object Repository/Podstrona O nas Przyciski/Page_O nas - Aptekarska Szkoa Zarzdzania/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-29 17:20:53,2021-01-29 17:20:54,"0,464s",PASSED
"click(findTestObject(""Object Repository/Podstrona O nas Przyciski/Page_O nas - Aptekarska Szkoa Zarzdzania/i_1""))",Chrome 88.0.4324.104,,,2021-01-29 17:20:54,2021-01-29 17:20:57,"3,513s",PASSED
waitForPageLoad(3),Chrome 88.0.4324.104,,,2021-01-29 17:20:57,2021-01-29 17:20:58,"0,521s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:20:58,2021-01-29 17:20:58,"0,015s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/dominika-nawrocka-romanik/"")",Chrome 88.0.4324.104,,,2021-01-29 17:20:58,2021-01-29 17:20:58,"0,021s",PASSED
"click(findTestObject(""Object Repository/Podstrona O nas Przyciski/Page_Dominika Nawrocka-Romanik - Aptekarska_aaad20/span_O nas""))",Chrome 88.0.4324.104,,,2021-01-29 17:20:58,2021-01-29 17:21:01,"3,390s",PASSED
waitForPageLoad(3),Chrome 88.0.4324.104,,,2021-01-29 17:21:01,2021-01-29 17:21:01,"0,017s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:21:01,2021-01-29 17:21:01,"0,018s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/"")",Chrome 88.0.4324.104,,,2021-01-29 17:21:01,2021-01-29 17:21:01,"0,054s",PASSED
"click(findTestObject(""Object Repository/Podstrona O nas Przyciski/Page_O nas - Aptekarska Szkoa Zarzdzania/a_Wicej_1""))",Chrome 88.0.4324.104,,,2021-01-29 17:21:01,2021-01-29 17:21:04,"2,921s",PASSED
waitForPageLoad(3),Chrome 88.0.4324.104,,,2021-01-29 17:21:04,2021-01-29 17:21:04,"0,059s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:21:04,2021-01-29 17:21:04,"0,043s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/dominika-nawrocka-romanik/"")",Chrome 88.0.4324.104,,,2021-01-29 17:21:04,2021-01-29 17:21:04,"0,019s",PASSED
"click(findTestObject(""Object Repository/Podstrona O nas Przyciski/Page_Dominika Nawrocka-Romanik - Aptekarska_aaad20/a_Wszystkie artykuy Dominiki Nawrockiej-Romanik""))",Chrome 88.0.4324.104,,,2021-01-29 17:21:04,2021-01-29 17:21:07,"2,942s",PASSED
waitForPageLoad(3),Chrome 88.0.4324.104,,,2021-01-29 17:21:07,2021-01-29 17:21:08,"0,116s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:21:08,2021-01-29 17:21:08,"0,012s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/category/artykuly/dominika-nawrocka-romanik/"")",Chrome 88.0.4324.104,,,2021-01-29 17:21:08,2021-01-29 17:21:08,"0,014s",PASSED
back(),Chrome 88.0.4324.104,,,2021-01-29 17:21:08,2021-01-29 17:21:08,"0,334s",PASSED
waitForPageLoad(3),Chrome 88.0.4324.104,,,2021-01-29 17:21:08,2021-01-29 17:21:08,"0,061s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:21:08,2021-01-29 17:21:08,"0,030s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/dominika-nawrocka-romanik/"")",Chrome 88.0.4324.104,,,2021-01-29 17:21:08,2021-01-29 17:21:08,"0,014s",PASSED
"click(findTestObject(""Object Repository/Podstrona O nas Przyciski/Page_Dominika Nawrocka-Romanik - Aptekarska_aaad20/i""))",Chrome 88.0.4324.104,,,2021-01-29 17:21:08,2021-01-29 17:21:11,"2,978s",PASSED
waitForPageLoad(3),Chrome 88.0.4324.104,,,2021-01-29 17:21:11,2021-01-29 17:21:11,"0,016s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:21:11,2021-01-29 17:21:11,"0,021s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/2021/01/24/jak-odzyskac-kontrole-nad-swoim-czasem-w-6-krokach/"")",Chrome 88.0.4324.104,,,2021-01-29 17:21:11,2021-01-29 17:21:11,"0,020s",PASSED
back(),Chrome 88.0.4324.104,,,2021-01-29 17:21:11,2021-01-29 17:21:11,"0,437s",PASSED
waitForPageLoad(3),Chrome 88.0.4324.104,,,2021-01-29 17:21:11,2021-01-29 17:21:12,"0,087s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:21:12,2021-01-29 17:21:12,"0,055s",PASSED
