Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Strona Główna,Chrome 88.0.4324.104,,,2021-01-29 17:13:54,2021-01-29 17:16:12,"2m - 18,249s",PASSED
,,,,,,,
Test Cases/Strona Główna/Test Nawigacji,Chrome 88.0.4324.104,,,2021-01-29 17:13:56,2021-01-29 17:14:34,"38,237s",PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-29 17:13:57,2021-01-29 17:14:03,"5,882s",PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-01-29 17:14:03,2021-01-29 17:14:05,"2,193s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/"")",Chrome 88.0.4324.104,,,2021-01-29 17:14:05,2021-01-29 17:14:10,"5,605s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-29 17:14:10,2021-01-29 17:14:14,"3,804s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Aktualnoci""))",Chrome 88.0.4324.104,,,2021-01-29 17:14:14,2021-01-29 17:14:19,"4,384s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:14:19,2021-01-29 17:14:19,"0,185s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/aktualnosci/"")",Chrome 88.0.4324.104,,,2021-01-29 17:14:19,2021-01-29 17:14:19,"0,136s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/span_Artykuy""))",Chrome 88.0.4324.104,,,2021-01-29 17:14:19,2021-01-29 17:14:23,"4,387s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:14:23,2021-01-29 17:14:23,"0,044s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/artykuly/"")",Chrome 88.0.4324.104,,,2021-01-29 17:14:23,2021-01-29 17:14:23,"0,092s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Artykuy - Aptekarska Szkoa Zarzdzania/span_O nas""))",Chrome 88.0.4324.104,,,2021-01-29 17:14:24,2021-01-29 17:14:27,"3,798s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:14:27,2021-01-29 17:14:27,"0,053s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/"")",Chrome 88.0.4324.104,,,2021-01-29 17:14:27,2021-01-29 17:14:27,"0,028s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_O nas - Aptekarska Szkoa Zarzdzania/span_Kontakt""))",Chrome 88.0.4324.104,,,2021-01-29 17:14:27,2021-01-29 17:14:31,"3,634s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:14:31,2021-01-29 17:14:31,"0,087s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/kontakt/"")",Chrome 88.0.4324.104,,,2021-01-29 17:14:31,2021-01-29 17:14:31,"0,043s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Oferta""))",Chrome 88.0.4324.104,,,2021-01-29 17:14:31,2021-01-29 17:14:33,"2,075s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:14:33,2021-01-29 17:14:33,"0,017s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/"")",Chrome 88.0.4324.104,,,2021-01-29 17:14:33,2021-01-29 17:14:33,"0,015s",PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-01-29 17:14:33,2021-01-29 17:14:34,"0,846s",PASSED
,,,,,,,
Test Cases/Strona Główna/Test Przewijania Strony,Chrome 88.0.4324.104,,,2021-01-29 17:14:34,2021-01-29 17:14:49,"14,873s",PASSED
