Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Artykuły,Firefox 84.0,,,2021-01-29 17:42:12,2021-01-29 17:44:27,"2m - 14,877s",FAILED
,,,,,,,
Test Cases/Artykuły/Test Nawigacji - Podstrona Artykuły,Firefox 84.0,,,2021-01-29 17:42:14,2021-01-29 17:42:52,"37,617s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-29 17:42:15,2021-01-29 17:42:21,"5,774s",PASSED
maximizeWindow(),Firefox 84.0,,,2021-01-29 17:42:21,2021-01-29 17:42:21,"0,308s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/artykuly/"")",Firefox 84.0,,,2021-01-29 17:42:21,2021-01-29 17:42:28,"7,059s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Firefox 84.0,,,2021-01-29 17:42:28,2021-01-29 17:42:29,"0,919s",PASSED
"click(findTestObject(""SPY - NAWIGACJA STRONA GŁOWNA BUTTON/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/img_Szkolenia cige dla farmaceutw, farmacji, farmaceutyczne  Aptekarska.pl_preload-me""))",Firefox 84.0,,,2021-01-29 17:42:29,2021-01-29 17:42:32,"3,336s",PASSED
getUrl(),Firefox 84.0,,,2021-01-29 17:42:32,2021-01-29 17:42:32,"0,042s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/"")",Firefox 84.0,,,2021-01-29 17:42:32,2021-01-29 17:42:32,"0,104s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Aktualnoci""))",Firefox 84.0,,,2021-01-29 17:42:32,2021-01-29 17:42:39,"6,841s",PASSED
getUrl(),Firefox 84.0,,,2021-01-29 17:42:39,2021-01-29 17:42:39,"0,158s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/aktualnosci/"")",Firefox 84.0,,,2021-01-29 17:42:39,2021-01-29 17:42:40,"0,045s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Artykuy - Aptekarska Szkoa Zarzdzania/span_O nas""))",Firefox 84.0,,,2021-01-29 17:42:40,2021-01-29 17:42:44,"4,239s",PASSED
getUrl(),Firefox 84.0,,,2021-01-29 17:42:44,2021-01-29 17:42:44,"0,022s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/"")",Firefox 84.0,,,2021-01-29 17:42:44,2021-01-29 17:42:44,"0,043s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_O nas - Aptekarska Szkoa Zarzdzania/span_Kontakt""))",Firefox 84.0,,,2021-01-29 17:42:44,2021-01-29 17:42:48,"3,701s",PASSED
getUrl(),Firefox 84.0,,,2021-01-29 17:42:48,2021-01-29 17:42:48,"0,133s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/kontakt/"")",Firefox 84.0,,,2021-01-29 17:42:48,2021-01-29 17:42:48,"0,060s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Oferta""))",Firefox 84.0,,,2021-01-29 17:42:48,2021-01-29 17:42:51,"2,791s",PASSED
getUrl(),Firefox 84.0,,,2021-01-29 17:42:51,2021-01-29 17:42:51,"0,020s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/"")",Firefox 84.0,,,2021-01-29 17:42:51,2021-01-29 17:42:51,"0,015s",PASSED
closeBrowser(),Firefox 84.0,,,2021-01-29 17:42:51,2021-01-29 17:42:52,"1,239s",PASSED
,,,,,,,
Test Cases/Artykuły/Test Przewijania Strony - Podstrona Artykuły,Firefox 84.0,,,2021-01-29 17:42:52,2021-01-29 17:43:06,"13,845s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-29 17:42:52,2021-01-29 17:42:57,"4,573s",PASSED
