Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Oferta,Edge Chromium 88,,,2021-01-29 17:59:07,2021-01-29 18:01:44,"2m - 36,927s",FAILED
,,,,,,,
Test Cases/Oferta/Test Nawigacji - Podstrony Oferta,Edge Chromium 88,,,2021-01-29 17:59:09,2021-01-29 17:59:24,"15,063s",PASSED
"openBrowser("""")",Edge Chromium 88,,,2021-01-29 17:59:10,2021-01-29 17:59:13,"2,741s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/oferta/"")",Edge Chromium 88,,,2021-01-29 17:59:13,2021-01-29 17:59:15,"2,255s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania/button_Nie zgadzam si""))",Edge Chromium 88,,,2021-01-29 17:59:15,2021-01-29 17:59:15,"0,386s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania/a_Opieka farmaceutyczna""))",Edge Chromium 88,,,2021-01-29 17:59:15,2021-01-29 17:59:19,"4,114s",PASSED
getUrl(),Edge Chromium 88,,,2021-01-29 17:59:19,2021-01-29 17:59:19,"0,038s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/course/index.php?categoryid=6"")",Edge Chromium 88,,,2021-01-29 17:59:19,2021-01-29 17:59:19,"0,067s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania Wszystkie kursy/a_Zarzdzanie aptek""))",Edge Chromium 88,,,2021-01-29 17:59:19,2021-01-29 17:59:20,"0,776s",PASSED
getUrl(),Edge Chromium 88,,,2021-01-29 17:59:20,2021-01-29 17:59:20,"0,038s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/course/index.php?categoryid=5"")",Edge Chromium 88,,,2021-01-29 17:59:20,2021-01-29 17:59:20,"0,037s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania Wszystkie kursy/a_Aspekty prawne""))",Edge Chromium 88,,,2021-01-29 17:59:20,2021-01-29 17:59:21,"0,688s",PASSED
getUrl(),Edge Chromium 88,,,2021-01-29 17:59:21,2021-01-29 17:59:21,"0,030s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/course/index.php?categoryid=7"")",Edge Chromium 88,,,2021-01-29 17:59:21,2021-01-29 17:59:21,"0,021s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania Wszystkie kursy/a_Inne produkty""))",Edge Chromium 88,,,2021-01-29 17:59:21,2021-01-29 17:59:22,"0,798s",PASSED
getUrl(),Edge Chromium 88,,,2021-01-29 17:59:22,2021-01-29 17:59:22,"0,027s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/course/index.php?categoryid=10"")",Edge Chromium 88,,,2021-01-29 17:59:22,2021-01-29 17:59:22,"0,015s",PASSED
